Category,Descript,DayOfWeek,PdDistrict,Resolution
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,MISSION,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,RICHMOND,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Friday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,CENTRAL,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,CENTRAL,"ARREST, BOOKED"
DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Friday,CENTRAL,"ARREST, BOOKED"
ASSAULT,BATTERY,Saturday,NORTHERN,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,CENTRAL,"ARREST, CITED"
NON-CRIMINAL,FOUND PROPERTY,Friday,RICHMOND,NONE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Friday,INGLESIDE,NONE
LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Friday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,CENTRAL,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,CENTRAL,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,INGLESIDE,"ARREST, BOOKED"
DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Friday,INGLESIDE,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,RICHMOND,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Friday,MISSION,"ARREST, BOOKED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,NORTHERN,"ARREST, CITED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,NORTHERN,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,CENTRAL,JUVENILE BOOKED
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,CENTRAL,JUVENILE BOOKED
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Saturday,NORTHERN,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,INGLESIDE,"ARREST, CITED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Saturday,NORTHERN,"ARREST, CITED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED"
ASSAULT,BATTERY,Saturday,MISSION,"ARREST, BOOKED"
"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Saturday,MISSION,"ARREST, BOOKED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Saturday,NORTHERN,"ARREST, CITED"
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Saturday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Saturday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Friday,CENTRAL,"ARREST, BOOKED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Saturday,NORTHERN,"ARREST, CITED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,INGLESIDE,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,NORTHERN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Saturday,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Saturday,TENDERLOIN,"ARREST, BOOKED"
WEAPON LAWS,LOITERING WHILE CARRYING CONCEALED WEAPON,Saturday,CENTRAL,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,CENTRAL,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,CENTRAL,"ARREST, CITED"
ROBBERY,"ROBBERY, BODILY FORCE",Saturday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,INDECENT EXPOSURE,Saturday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,TARAVAL,NONE
TRESPASS,TRESPASSING,Friday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,CENTRAL,NONE
ROBBERY,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE,Saturday,TARAVAL,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Saturday,TARAVAL,"ARREST, BOOKED"
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Saturday,TARAVAL,"ARREST, BOOKED"
ASSAULT,THREATS AGAINST LIFE,Saturday,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Saturday,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,MISSION,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,RICHMOND,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,TENDERLOIN,"ARREST, CITED"
NON-CRIMINAL,FOUND PROPERTY,Friday,NORTHERN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,BAYVIEW,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Saturday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,TARAVAL,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Saturday,CENTRAL,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,BAYVIEW,"ARREST, CITED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,BAYVIEW,NONE
ASSAULT,BATTERY,Saturday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO PAROLE OFFICER,Saturday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,BATTERY,Saturday,CENTRAL,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Saturday,MISSION,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,PSYCHOPATHIC CASE
OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,TARAVAL,"ARREST, CITED"
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,NORTHERN,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,SOUTHERN,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,SOUTHERN,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Sunday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Sunday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,SOUTHERN,NONE
NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,TARAVAL,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,TENDERLOIN,UNFOUNDED
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Sunday,NORTHERN,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,TARAVAL,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,RICHMOND,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,TARAVAL,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,TENDERLOIN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,SOUTHERN,NONE
FRAUD,"FORGERY, CREDIT CARD",Friday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,PARK,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,TENDERLOIN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
NON-CRIMINAL,"DEATH, NON-MANSLAUGHTER AUTO ACCIDENT",Tuesday,SOUTHERN,EXCEPTIONAL CLEARANCE
RUNAWAY,RUNAWAY,Sunday,RICHMOND,LOCATED
MISSING PERSON,MISSING JUVENILE,Sunday,RICHMOND,LOCATED
MISSING PERSON,FOUND PERSON,Sunday,RICHMOND,LOCATED
"SEX OFFENSES, FORCIBLE","CHILD ABUSE, PORNOGRAPHY",Friday,RICHMOND,"ARREST, BOOKED"
OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Monday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,NORTHERN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Tuesday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,SOUTHERN,"ARREST, CITED"
NON-CRIMINAL,LOST PROPERTY,Wednesday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,RICHMOND,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,SOUTHERN,"ARREST, CITED"
VEHICLE THEFT,STOLEN TRUCK,Saturday,RICHMOND,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,MISSION,NONE
VEHICLE THEFT,STOLEN TRUCK,Tuesday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,CENTRAL,"ARREST, CITED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Wednesday,BAYVIEW,NONE
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Wednesday,BAYVIEW,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,RICHMOND,UNFOUNDED
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,"ARREST, CITED"
ROBBERY,ROBBERY ON THE STREET WITH A GUN,Thursday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Thursday,TARAVAL,COMPLAINANT REFUSES TO PROSECUTE
NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE
NON-CRIMINAL,AIDED CASE,Thursday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,CENTRAL,"ARREST, CITED"
NON-CRIMINAL,AIDED CASE,Thursday,RICHMOND,NONE
NON-CRIMINAL,AIDED CASE,Thursday,RICHMOND,NONE
BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,CENTRAL,"ARREST, BOOKED"
FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,CENTRAL,"ARREST, BOOKED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,RICHMOND,NONE
MISSING PERSON,MISSING ADULT,Thursday,INGLESIDE,NONE
MISSING PERSON,MISSING ADULT,Wednesday,TENDERLOIN,NONE
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,CENTRAL,"ARREST, BOOKED"
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,TARAVAL,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Monday,RICHMOND,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,BAYVIEW,NONE
DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Thursday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,FIRE REPORT,Thursday,INGLESIDE,NONE
