Category,Descript,DayOfWeek,PdDistrict,Resolution
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,INGLESIDE,PSYCHOPATHIC CASE
NON-CRIMINAL,LOST PROPERTY,Thursday,INGLESIDE,NONE
WEAPON LAWS,POSS OF PROHIBITED WEAPON,Thursday,INGLESIDE,"ARREST, BOOKED"
WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Thursday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Friday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,PARK,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,CENTRAL,"ARREST, BOOKED"
WEAPON LAWS,DISCHARGE FIREARM WITHIN CITY LIMITS,Friday,BAYVIEW,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,PARK,NONE
NON-CRIMINAL,TARASOFF REPORT,Thursday,INGLESIDE,NONE
ASSAULT,THREATS AGAINST LIFE,Thursday,INGLESIDE,NONE
ASSAULT,THREATS AGAINST LIFE,Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,RICHMOND,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,PARK,NONE
NON-CRIMINAL,COURTESY REPORT,Thursday,PARK,NONE
NON-CRIMINAL,AIDED CASE,Thursday,RICHMOND,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,RICHMOND,PSYCHOPATHIC CASE
TRESPASS,TRESPASSING,Thursday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,BAYVIEW,"ARREST, BOOKED"
TRESPASS,TRESPASSING,Thursday,SOUTHERN,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,INGLESIDE,"ARREST, CITED"
WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,NONE
OTHER OFFENSES,PROBATION VIOLATION,Thursday,TENDERLOIN,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,MISSION,CLEARED-CONTACT JUVENILE FOR MORE INFO
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,RICHMOND,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TARAVAL,PSYCHOPATHIC CASE
ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,CENTRAL,"ARREST, BOOKED"
EXTORTION,ATTEMPTED EXTORTION,Thursday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Thursday,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,NORTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,TENDERLOIN,NONE
WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Thursday,MISSION,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,INGLESIDE,JUVENILE ADMONISHED
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,BAYVIEW,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,BAYVIEW,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,MISSION,UNFOUNDED
DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Thursday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
ASSAULT,BATTERY,Thursday,BAYVIEW,NONE
TRESPASS,TRESPASSING,Thursday,CENTRAL,"ARREST, CITED"
STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Thursday,TENDERLOIN,"ARREST, BOOKED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,NORTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,NORTHERN,NONE
OTHER OFFENSES,PAROLE VIOLATION,Thursday,NORTHERN,NONE
WEAPON LAWS,CARRYING A CONCEALED WEAPON,Thursday,NORTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,NORTHERN,NONE
OTHER OFFENSES,PAROLE VIOLATION,Thursday,NORTHERN,NONE
WARRANTS,WARRANT ARREST,Thursday,NORTHERN,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,INGLESIDE,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Thursday,NORTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,TENDERLOIN,NONE
OTHER OFFENSES,CONSPIRACY,Thursday,TENDERLOIN,NONE
NON-CRIMINAL,AIDED CASE,Thursday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,TENDERLOIN,NONE
OTHER OFFENSES,PROBATION VIOLATION,Thursday,TENDERLOIN,NONE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,CENTRAL,NONE
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,ATTEMPTED HOMICIDE WITH A KNIFE,Thursday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,NORTHERN,NONE
OTHER OFFENSES,PROBATION VIOLATION,Thursday,NORTHERN,NONE
WARRANTS,WARRANT ARREST,Thursday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,NORTHERN,NONE
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Thursday,NORTHERN,NONE
WARRANTS,WARRANT ARREST,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Thursday,RICHMOND,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,RICHMOND,"ARREST, CITED"
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,SOUTHERN,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,SOUTHERN,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,NORTHERN,JUVENILE BOOKED
OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,Thursday,NORTHERN,JUVENILE BOOKED
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,INGLESIDE,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,PARK,NONE
WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,PARK,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,PARK,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,SOUTHERN,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,"ARREST, CITED"
ASSAULT,THREATS AGAINST LIFE,Thursday,RICHMOND,NONE
OTHER OFFENSES,HARASSING PHONE CALLS,Thursday,RICHMOND,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Friday,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,FOUND PROPERTY,Friday,NORTHERN,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,ASSAULT,Friday,RICHMOND,NONE
ASSAULT,BATTERY OF A POLICE OFFICER,Friday,RICHMOND,NONE
LIQUOR LAWS,UNLAWFUL TRANSPORTATION OF ALCOHOL,Friday,SOUTHERN,NOT PROSECUTED
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,SOUTHERN,NOT PROSECUTED
OTHER OFFENSES,PAROLE VIOLATION,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,NORTHERN,JUVENILE BOOKED
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TARAVAL,"ARREST, CITED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,PARK,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TARAVAL,PSYCHOPATHIC CASE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,MISSION,"ARREST, BOOKED"
WARRANTS,ENROUTE TO ADULT AUTHORITY,Friday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,MISSION,"ARREST, CITED"
MISSING PERSON,MISSING ADULT,Friday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,RICHMOND,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,RICHMOND,"ARREST, CITED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,PARK,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,BAYVIEW,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,TARAVAL,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,TARAVAL,"ARREST, BOOKED"
FRAUD,FRAUDULENT CREDIT APPLICATION,Friday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TENDERLOIN,PSYCHOPATHIC CASE
FRAUD,"TRICK AND DEVICE, PETTY THEFT",Friday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Friday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,SOUTHERN,PSYCHOPATHIC CASE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,INDECENT EXPOSURE,Friday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Friday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,PARK,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
NON-CRIMINAL,AIDED CASE,Friday,PARK,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Friday,MISSION,"ARREST, CITED"
OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,MISSION,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
RUNAWAY,RUNAWAY,Friday,PARK,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, BOOKED"
MISSING PERSON,FOUND PERSON,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,PARK,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,PARK,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,TENDERLOIN,NONE
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,SOUTHERN,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,TENDERLOIN,JUVENILE BOOKED
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,SOUTHERN,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TENDERLOIN,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,PARK,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,CENTRAL,"ARREST, CITED"
ASSAULT,THREATS AGAINST LIFE,Thursday,MISSION,NONE
OTHER OFFENSES,RESISTING ARREST,Friday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,SOUTHERN,"ARREST, CITED"
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,INGLESIDE,NONE
LARCENY/THEFT,ATTEMPTED THEFT FROM A BUILDING,Friday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Friday,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Friday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,TARAVAL,"ARREST, BOOKED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,NONE
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,INGLESIDE,"ARREST, CITED"
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, CITED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,NONE
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Friday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,PSYCHOPATHIC CASE
ASSAULT,BATTERY,Friday,MISSION,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,BAYVIEW,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,CENTRAL,"ARREST, CITED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,NONE
ASSAULT,THREATS AGAINST LIFE,Friday,TARAVAL,"ARREST, BOOKED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Friday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,INFLICT INJURY ON COHABITEE,Friday,INGLESIDE,"ARREST, BOOKED"
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Friday,PARK,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Saturday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,INGLESIDE,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF COCAINE,Saturday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Saturday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,TARAVAL,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,CENTRAL,"ARREST, BOOKED"
ASSAULT,BATTERY,Saturday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Saturday,SOUTHERN,"ARREST, BOOKED"
"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE",Saturday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,NORTHERN,"ARREST, CITED"
TRESPASS,TRESPASSING,Saturday,CENTRAL,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Saturday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,BAYVIEW,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Saturday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,INGLESIDE,"ARREST, CITED"
