Category,Descript,DayOfWeek,PdDistrict,Resolution
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,PARK,NONE
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Tuesday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Friday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,RICHMOND,NONE
BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,MISSION,NONE
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Sunday,NORTHERN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Sunday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Sunday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT BICYCLE,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, STREET CARS/BUSES",Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT BICYCLE,Thursday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE
OTHER OFFENSES,HARASSING PHONE CALLS,Wednesday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN,NOT PROSECUTED
ASSAULT,THREATS AGAINST LIFE,Wednesday,BAYVIEW,NONE
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Monday,MISSION,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,MISSION,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,MISSION,NONE
NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,NORTHERN,NONE
DISORDERLY CONDUCT,DISTURBING THE PEACE,Friday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Friday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT BICYCLE,Friday,INGLESIDE,NONE
KIDNAPPING,"ATTEMPTED KIDNAPPING, ADULT VICTIM",Friday,INGLESIDE,NONE
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Friday,INGLESIDE,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,INGLESIDE,PSYCHOPATHIC CASE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,TENDERLOIN,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,TENDERLOIN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,INGLESIDE,NONE
BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",Friday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT BICYCLE,Friday,INGLESIDE,NONE
NON-CRIMINAL,AIDED CASE,Saturday,MISSION,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Saturday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,INGLESIDE,NONE
NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Saturday,TARAVAL,NONE
MISSING PERSON,MISSING ADULT,Saturday,INGLESIDE,LOCATED
MISSING PERSON,FOUND PERSON,Saturday,INGLESIDE,LOCATED
MISSING PERSON,MISSING ADULT,Saturday,BAYVIEW,LOCATED
MISSING PERSON,FOUND PERSON,Saturday,BAYVIEW,LOCATED
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,TENDERLOIN,"ARREST, CITED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Sunday,PARK,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,TENDERLOIN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,TENDERLOIN,NONE
LARCENY/THEFT,GRAND THEFT BICYCLE,Saturday,SOUTHERN,NONE
ASSAULT,BATTERY,Sunday,TENDERLOIN,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Sunday,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,FOUND PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,SOUTHERN,NONE
ASSAULT,BATTERY,Sunday,TENDERLOIN,NONE
ASSAULT,BATTERY,Sunday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Sunday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,CENTRAL,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,TENDERLOIN,"ARREST, CITED"
ASSAULT,THREATS AGAINST LIFE,Monday,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,PARK,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Monday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Monday,SOUTHERN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Monday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,BAYVIEW,NONE
NON-CRIMINAL,FOUND PROPERTY,Sunday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,PARK,NONE
ROBBERY,ROBBERY ON THE STREET WITH A GUN,Monday,MISSION,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,RICHMOND,NONE
ASSAULT,THREATS AGAINST LIFE,Monday,TARAVAL,NONE
WEAPON LAWS,POSS OF PROHIBITED WEAPON,Tuesday,NORTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Tuesday,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,TENDERLOIN,NONE
DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Tuesday,TENDERLOIN,"ARREST, CITED"
OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS,Tuesday,TENDERLOIN,"ARREST, CITED"
